region,EF_tCO2e_noLUC,kg_CO2e_LUC,EF_tCO2e_total,group
AT,3204420.6310244617,0.0,3204420.6310244617,GN
AU,26021289.37137958,0.0,26021289.37137958,GN
BE,6719724.192593684,0.0,6719724.192593684,GN
BG,2951200.869883286,0.0,2951200.869883286,GN
BR,226541906.89331162,0.0,226541906.89331162,GS
CA,40967620.981256604,0.0,40967620.981256604,GN
CH,3527366.791371002,0.0,3527366.791371002,GN
CN,959757919.6086185,0.0,959757919.6086185,CN
CY,571222.4529623324,0.0,571222.4529623324,GN
CZ,7188642.323597185,0.0,7188642.323597185,GN
DE,59530074.21564358,0.0,59530074.21564358,GN
DK,2592486.4512572372,0.0,2592486.4512572372,GN
EE,472137.2514521593,0.0,472137.2514521593,GN
ES,14241915.532143535,0.0,14241915.532143535,GN
FI,4022839.757822491,0.0,4022839.757822491,GN
FR,54867517.817059234,0.0,54867517.817059234,GN
GB,39134759.15162057,0.0,39134759.15162057,GN
GR,7968926.448247205,0.0,7968926.448247205,GN
HR,551615.4028919429,0.0,551615.4028919429,GN
HU,2824638.6560503007,0.0,2824638.6560503007,GN
ID,78313959.27114694,0.0,78313959.27114694,GS
IE,12451702.153111883,0.0,12451702.153111883,GN
IN,211502158.4726082,0.0,211502158.4726082,GS
IT,27333112.00616966,0.0,27333112.00616966,GN
JP,50451634.10475569,0.0,50451634.10475569,GN
KR,41771849.75872784,0.0,41771849.75872784,GN
LT,3439169.6117409365,0.0,3439169.6117409365,GN
LU,643147.9825764097,0.0,643147.9825764097,GN
LV,1739115.8681183376,0.0,1739115.8681183376,GN
MT,328195.3780942393,0.0,328195.3780942393,GN
MX,40512928.88382556,0.0,40512928.88382556,GS
NL,13080745.74194516,0.0,13080745.74194516,GN
NO,6449643.131673392,0.0,6449643.131673392,GN
PL,28012298.978296064,0.0,28012298.978296064,GN
PT,7083689.074528599,0.0,7083689.074528599,GN
RO,14438965.38880688,0.0,14438965.38880688,GN
RU,76954470.12074512,0.0,76954470.12074512,GS
SE,9393120.500002231,0.0,9393120.500002231,GN
SI,1055311.1177774665,0.0,1055311.1177774665,GN
SK,1990705.8762101694,0.0,1990705.8762101694,GN
TR,33922030.01010549,0.0,33922030.01010549,GS
TW,20734143.454599775,0.0,20734143.454599775,GN
US,336992799.3842007,0.0,336992799.3842007,GN
ZA,9454003.69868483,0.0,9454003.69868483,GS
